Hydrophobicity cutoff,Blob length,Blob hydrophobicity class,total SNPs,Enrichment,p value,color
0.02,78,p,35,0.26,5.86e-05,"rgb(255.0, 131.99999999999997, 131.99999999999997)"
0.02,79,p,15,1.11,0.689,"rgb(255, 0, 0)"
0.02,80,p,12,0.12,0.00328,"rgb(255.0, 60.0, 60.0)"
0.02,81,p,15,0.63,0.375,"rgb(188.0, 188.0, 255.0)"
0.02,82,p,5,1.9,0.211,"rgb(255, 0, 0)"
0.02,83,p,19,0.15,0.000305,"rgb(255.0, 76.0, 76.0)"
0.02,84,p,19,3.55,6.58e-05,"rgb(255, 0, 0)"
0.02,85,p,12,0.42,0.182,"rgb(255.0, 214.0, 214.0)"
0.02,86,p,10,0.0,0.000925,"rgb(255.0, 0.0, 0.0)"
0.02,87,p,10,0.0,0.000925,"rgb(255.0, 0.0, 0.0)"
0.02,88,p,15,0.32,0.0324,"rgb(255.0, 162.0, 162.0)"
0.02,89,p,22,0.28,0.00314,"rgb(255.0, 142.0, 142.0)"
0.02,90,p,19,2.75,0.00126,"rgb(255, 0, 0)"
0.02,91,p,11,0.72,0.671,"rgb(142.0, 142.0, 255.0)"
0.02,92,p,14,0.1,0.00081,"rgb(255.0, 50.0, 50.0)"
0.02,93,p,16,0.08,0.000199,"rgb(255.0, 40.0, 40.0)"
0.02,94,p,20,1.04,0.864,"rgb(255, 0, 0)"
0.02,95,p,7,1.69,0.308,"rgb(255, 0, 0)"
0.02,96,p,10,1.9,0.143,"rgb(255, 0, 0)"
0.02,97,p,12,0.42,0.182,"rgb(255.0, 214.0, 214.0)"
0.02,98,p,11,0.28,0.0572,"rgb(255.0, 142.0, 142.0)"
0.02,99,p,18,0.16,0.000597,"rgb(255.0, 80.0, 80.0)"
0.02,100,p,8,0.0,0.00406,"rgb(255.0, 0.0, 0.0)"
0.03,2,p,26,1.48,0.141,"rgb(255, 0, 0)"
0.03,4,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.03,5,p,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.03,6,p,3,0.63,1.0,"rgb(188.0, 188.0, 255.0)"
0.03,7,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.03,8,p,8,1.27,0.565,"rgb(255, 0, 0)"
0.03,9,p,3,2.54,0.187,"rgb(255, 0, 0)"
0.03,10,p,4,0.42,0.737,"rgb(255.0, 214.0, 214.0)"
0.03,11,p,4,1.27,0.674,"rgb(255, 0, 0)"
0.03,13,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.03,14,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.03,15,p,9,0.16,0.0262,"rgb(255.0, 80.0, 80.0)"
0.03,16,p,9,1.58,0.254,"rgb(255, 0, 0)"
0.03,17,p,5,0.85,1.0,"rgb(76.00000000000001, 76.00000000000001, 255.0)"
0.03,18,p,6,0.25,0.201,"rgb(255.0, 128.0, 128.0)"
0.03,19,p,11,1.52,0.302,"rgb(255, 0, 0)"
0.03,20,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.03,21,p,13,0.56,0.344,"rgb(224.0, 224.0, 255.0)"
0.03,22,p,6,0.0,0.0183,"rgb(255.0, 0.0, 0.0)"
