Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
43,0.05,14,26,40,0.68,0.183
44,0.05,26,38,64,0.87,0.523
45,0.05,6,40,46,0.19,5.97e-08
47,0.05,40,49,89,1.03,0.809
48,0.05,33,35,68,1.2,0.294
49,0.05,30,61,91,0.62,0.0074
50,0.05,17,32,49,0.67,0.11
51,0.05,17,40,57,0.54,0.00725
52,0.05,20,43,63,0.59,0.0157
53,0.05,26,53,79,0.62,0.0129
54,0.05,17,45,62,0.48,0.000981
55,0.05,35,40,75,1.11,0.532
56,0.05,63,43,106,1.86,6.48e-06
57,0.05,25,62,87,0.51,0.000247
58,0.05,19,31,50,0.78,0.311
59,0.05,15,36,51,0.53,0.00838
60,0.05,13,50,63,0.33,2.06e-06
61,0.05,42,48,90,1.11,0.464
62,0.05,25,60,85,0.53,0.000591
63,0.05,24,42,66,0.72,0.118
64,0.05,25,41,66,0.77,0.218
65,0.05,32,52,84,0.78,0.183
66,0.05,9,49,58,0.23,1.94e-08
68,0.05,31,45,76,0.87,0.502
69,0.05,65,54,119,1.53,0.00122
70,0.05,9,51,60,0.22,5.61e-09
71,0.05,23,40,63,0.73,0.153
72,0.05,17,60,77,0.36,6.35e-07
73,0.05,82,54,136,1.93,8.54e-08
74,0.05,23,45,68,0.65,0.0352
75,0.05,47,55,102,1.08,0.543
76,0.05,31,49,80,0.8,0.259
77,0.05,43,59,102,0.92,0.66
78,0.05,31,63,94,0.62,0.00678
79,0.05,20,62,82,0.41,5.54e-06
80,0.05,31,64,95,0.61,0.00469
81,0.05,23,59,82,0.49,0.000226
82,0.05,32,47,79,0.86,0.459
83,0.05,25,43,68,0.74,0.143
84,0.05,27,73,100,0.47,1.19e-05
85,0.05,13,64,77,0.26,8.45e-10
86,0.05,42,51,93,1.04,0.752
87,0.05,29,70,99,0.53,0.000153
88,0.05,23,58,81,0.5,0.000355
89,0.05,21,61,82,0.44,1.84e-05
90,0.05,18,60,78,0.38,1.9e-06
91,0.05,69,71,140,1.23,0.0938
92,0.05,22,57,79,0.49,0.000237
93,0.05,19,47,66,0.51,0.0017
94,0.05,28,58,86,0.61,0.00612
95,0.05,14,43,57,0.41,0.000198
96,0.05,23,47,70,0.62,0.017
97,0.05,51,67,118,0.97,0.89
98,0.05,53,67,120,1.0,0.945
99,0.05,39,79,118,0.63,0.00226
100,0.05,49,52,101,1.19,0.211
2,0.06,1,5,6,0.25,0.201
4,0.06,5,19,24,0.33,0.00608
5,0.06,16,19,35,1.07,0.795
6,0.06,8,23,31,0.44,0.0131
7,0.06,12,28,40,0.54,0.0322
8,0.06,19,22,41,1.09,0.631
9,0.06,12,20,32,0.76,0.448
10,0.06,22,19,41,1.47,0.0903
11,0.06,17,36,53,0.6,0.0303
13,0.06,21,27,48,0.99,1.0
14,0.06,27,46,73,0.74,0.134
15,0.06,33,39,72,1.07,0.652
16,0.06,13,37,50,0.45,0.00151
17,0.06,19,47,66,0.51,0.0017
18,0.06,22,46,68,0.61,0.0156
19,0.06,47,51,98,1.17,0.269
20,0.06,27,55,82,0.62,0.0118
21,0.06,44,99,143,0.56,4.21e-05
22,0.06,39,63,102,0.78,0.136
23,0.06,39,41,80,1.21,0.251
24,0.06,39,60,99,0.82,0.245
25,0.06,33,51,84,0.82,0.304
27,0.06,36,73,109,0.63,0.00294
28,0.06,21,67,88,0.4,1.19e-06
29,0.06,58,67,125,1.1,0.449
30,0.06,27,65,92,0.53,0.00034
31,0.06,12,55,67,0.28,3.28e-08
32,0.06,52,68,120,0.97,0.891
33,0.06,38,70,108,0.69,0.0182
34,0.06,37,86,123,0.55,5.74e-05
35,0.06,18,91,109,0.25,7.4e-14
36,0.06,24,77,101,0.4,1.58e-07
37,0.06,36,60,96,0.76,0.109
38,0.06,34,71,105,0.61,0.00205
39,0.06,68,79,147,1.09,0.447
40,0.06,42,89,131,0.6,0.000405
41,0.06,73,98,171,0.94,0.69
42,0.06,35,61,96,0.73,0.0602
43,0.06,38,75,113,0.64,0.00414
44,0.06,46,66,112,0.88,0.445
45,0.06,70,65,135,1.37,0.0117
47,0.06,59,92,151,0.81,0.126
48,0.06,54,77,131,0.89,0.44
49,0.06,78,105,183,0.94,0.66
50,0.06,35,69,104,0.64,0.00653
51,0.06,41,94,135,0.55,3.49e-05
52,0.06,39,78,117,0.63,0.00267
53,0.06,102,83,185,1.56,2.42e-05
54,0.06,29,87,116,0.42,1.2e-07
55,0.06,60,87,147,0.87,0.333
56,0.06,65,85,150,0.97,0.855
57,0.06,71,115,186,0.78,0.04
58,0.06,32,107,139,0.38,1.29e-10
59,0.06,58,67,125,1.1,0.449
60,0.06,22,107,129,0.26,1.25e-15
61,0.06,57,105,162,0.69,0.00348
62,0.06,45,90,135,0.63,0.0013
63,0.06,75,93,168,1.02,0.815
64,0.06,91,129,220,0.89,0.32
65,0.06,62,100,162,0.79,0.0624
66,0.06,54,92,146,0.74,0.0294
68,0.06,51,109,160,0.59,6.13e-05
69,0.06,116,92,208,1.6,2.3e-06
70,0.06,20,93,113,0.27,3.45e-13
71,0.06,29,94,123,0.39,3.43e-09
72,0.06,60,122,182,0.62,0.0001
73,0.06,44,107,151,0.52,1.92e-06
74,0.06,80,86,166,1.18,0.144
75,0.06,89,126,215,0.9,0.315
76,0.06,47,73,120,0.82,0.186
77,0.06,51,133,184,0.49,6.83e-09
78,0.06,17,104,121,0.21,5.64e-18
79,0.06,34,136,170,0.32,2.38e-16
80,0.06,78,86,164,1.15,0.223
81,0.06,54,104,158,0.66,0.00131
82,0.06,57,108,165,0.67,0.00161
83,0.06,72,100,172,0.91,0.498
84,0.06,82,88,170,1.18,0.133
85,0.06,67,110,177,0.77,0.0315
86,0.06,86,113,199,0.96,0.791
87,0.06,46,130,176,0.45,6.78e-10
88,0.06,98,112,210,1.11,0.311
89,0.06,75,104,179,0.91,0.472
90,0.06,60,93,153,0.82,0.128
91,0.06,98,103,201,1.21,0.0665
92,0.06,39,113,152,0.44,4.29e-09
93,0.06,46,103,149,0.57,2.92e-05
94,0.06,60,75,135,1.01,0.896
95,0.06,80,103,183,0.98,0.956
96,0.06,84,88,172,1.21,0.0813
97,0.06,72,140,212,0.65,0.000132
98,0.06,111,113,224,1.25,0.0225
99,0.06,71,143,214,0.63,3.17e-05
100,0.06,66,87,153,0.96,0.809
2,0.07,4,7,11,0.72,0.671
4,0.07,21,46,67,0.58,0.00967
5,0.07,27,47,74,0.73,0.1
6,0.07,16,51,67,0.4,2.52e-05
7,0.07,40,57,97,0.89,0.502
8,0.07,55,61,116,1.14,0.312
9,0.07,35,68,103,0.65,0.00922
10,0.07,40,63,103,0.8,0.2
