Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
83,0.04,25,48,73,0.66,0.0342
84,0.04,13,26,39,0.63,0.12
85,0.04,8,32,40,0.32,0.000132
86,0.04,11,43,54,0.32,9.64e-06
87,0.04,8,34,42,0.3,4.14e-05
88,0.04,44,42,86,1.33,0.067
89,0.04,13,45,58,0.37,2.39e-05
90,0.04,31,39,70,1.01,0.928
91,0.04,48,41,89,1.48,0.0103
92,0.04,2,34,36,0.07,1.64e-09
93,0.04,25,34,59,0.93,0.846
94,0.04,25,36,61,0.88,0.638
95,0.04,11,41,52,0.34,2.97e-05
96,0.04,7,18,25,0.49,0.0611
97,0.04,18,33,51,0.69,0.14
98,0.04,26,35,61,0.94,0.849
99,0.04,14,41,55,0.43,0.000546
100,0.04,10,49,59,0.26,7.93e-08
2,0.05,76,82,158,1.18,0.17
4,0.05,7,12,19,0.74,0.517
5,0.05,6,13,19,0.59,0.212
6,0.05,15,13,28,1.46,0.155
7,0.05,6,10,16,0.76,0.719
8,0.05,8,13,21,0.78,0.637
9,0.05,12,18,30,0.85,0.69
10,0.05,5,12,17,0.53,0.19
11,0.05,13,9,22,1.83,0.0364
13,0.05,10,9,19,1.41,0.256
14,0.05,4,12,16,0.42,0.0737
15,0.05,15,17,32,1.12,0.585
16,0.05,10,27,37,0.47,0.012
17,0.05,14,24,38,0.74,0.3
18,0.05,2,18,20,0.14,0.000155
19,0.05,13,26,39,0.63,0.12
20,0.05,7,17,24,0.52,0.0983
21,0.05,17,28,45,0.77,0.337
22,0.05,15,29,44,0.66,0.115
23,0.05,9,36,45,0.32,4.54e-05
24,0.05,21,35,56,0.76,0.252
25,0.05,10,23,33,0.55,0.0589
27,0.05,15,22,37,0.86,0.718
28,0.05,13,32,45,0.52,0.0123
29,0.05,16,33,49,0.61,0.0491
30,0.05,17,29,46,0.74,0.25
31,0.05,5,23,28,0.28,0.000574
32,0.05,9,41,50,0.28,2.46e-06
33,0.05,9,32,41,0.36,0.000431
34,0.05,30,36,66,1.06,0.707
35,0.05,8,32,40,0.32,0.000132
36,0.05,24,28,52,1.09,0.669
37,0.05,12,38,50,0.4,0.000333
38,0.05,10,25,35,0.51,0.0238
39,0.05,13,27,40,0.61,0.0813
40,0.05,19,26,45,0.93,0.825
41,0.05,24,36,60,0.85,0.51
