Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
51,0.05,24,66,90,0.46,2.12e-05
52,0.05,9,31,40,0.37,0.000746
53,0.05,17,34,51,0.63,0.0652
54,0.05,19,27,46,0.89,0.744
55,0.05,27,43,70,0.8,0.264
56,0.05,21,35,56,0.76,0.252
57,0.05,15,43,58,0.44,0.000404
58,0.05,21,51,72,0.52,0.00151
59,0.05,53,28,81,2.4,2.3e-08
60,0.05,52,31,83,2.13,1.26e-06
61,0.05,22,43,65,0.65,0.0388
62,0.05,31,32,63,1.23,0.232
63,0.05,27,44,71,0.78,0.233
64,0.05,39,42,81,1.18,0.296
65,0.05,9,32,41,0.36,0.000431
67,0.05,33,28,61,1.49,0.025
68,0.05,27,35,62,0.98,1.0
69,0.05,16,24,40,0.85,0.644
70,0.05,5,38,43,0.17,4.3e-08
71,0.05,56,47,103,1.51,0.00383
72,0.05,41,31,72,1.68,0.00219
73,0.05,10,45,55,0.28,8.61e-07
74,0.05,50,39,89,1.63,0.00147
75,0.05,21,33,54,0.81,0.377
76,0.05,47,39,86,1.53,0.00647
77,0.05,15,31,46,0.61,0.0542
78,0.05,20,54,74,0.47,0.000212
79,0.05,31,48,79,0.82,0.291
80,0.05,10,44,54,0.29,1.55e-06
81,0.05,20,36,56,0.7,0.132
82,0.05,10,24,34,0.53,0.0377
83,0.05,23,49,72,0.6,0.00973
84,0.05,12,30,42,0.51,0.0131
85,0.05,8,47,55,0.22,1.54e-08
86,0.05,12,49,61,0.31,1.08e-06
87,0.05,8,42,50,0.24,3.42e-07
88,0.05,45,51,96,1.12,0.43
89,0.05,18,62,80,0.37,6.58e-07
90,0.05,31,47,78,0.84,0.365
91,0.05,48,50,98,1.22,0.175
92,0.05,4,39,43,0.13,3.92e-09
93,0.05,25,35,60,0.91,0.703
94,0.05,27,44,71,0.78,0.233
95,0.05,16,52,68,0.39,1.5e-05
96,0.05,8,28,36,0.36,0.00126
97,0.05,19,44,63,0.55,0.00497
